Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Ignore,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Video URL,Product URL
1858874,Düz Damalı Eşarp - Gümüş," 
            <p>يمكنك شراء هذا المنتج من موقع مودانيسا فلسطين اليوم، كل ما عليك عمله هو اضافة المنتج إلى السلة واكمال عملية الشراء.</p>
            <p>في حال احتجتي معرفة قياسك، اضغطي على زر جدول المقاسات أعلاه.</p>
            <p></p>
            <p>في حال احتجتي لمساعدة في عملية الشراء، يمكنك الدردشة معنا وسيقوم فريق الدعم الخاص بنا بمساعدتك حتى اتمام عملية الشراء والتأكد من رضاكِ التام.</p>
            <p></p>
            <p><br></p>
            <p>شروط البيع:</p>
            <p></p>
            <p>- الدفع يكون عند الاستلام.</p>
            <p></p>
            <p>- السعر شامل ضريبة القيمة المضافة والجمارك وسوف تتحمل مودانيسا فلسطين أي تكاليف أخرى تطرأ على طلبك.</p>
            <p></p>
            <p>- الحد الأدنى للطلب هو ١٠٠ شيكل.</p>
            <p></p>
            <p>- التوصيل مجاني عند شرائك بمبلغ ٢٥٠ شيكل فأكثر.</p>
            <p></p>
            <p>- كافة منتجاتنا تخضع لسياسة تبديل وإرجاع مميزة وهي ١٤ يوم من تاريخ استلام المنتج.</p>
            <p></p>
            <p>- مدة التوصيل كما هي موضحة تكون في العادة ما بين ١٢-٢٠ يوم وقد يصلك طلبك قبل ذلك أو بعد ذلك مع تواصلنا معك في حال حصول تأخير.</p>
            <p></p>
        ",Gülsoy,,Plain Scarf,TRUE,,,,,,,1858874,0,shopify,10,deny,manual,34.99,35,49.0,TRUE,FALSE,,https://fns.modanisa.com/r/pro2/2020/11/17/z-esarp--gumus--gulsoy-1858874-5.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,14.0,active,,https://www.modanisa.com/duz-damali-esarp--gumus--gulsoy.html
1858874,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2020/11/17/z-esarp--gumus--gulsoy-1858874-1.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
1858874,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2020/11/17/z-esarp--gumus--gulsoy-1858874-7.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
1858874,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2020/11/17/z-esarp--gumus--gulsoy-1858874-8.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
1858874,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2020/11/17/z-esarp--gumus--gulsoy-1858874-12.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
1858874,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2020/11/17/z-esarp--gumus--gulsoy-1858874-9.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,
1858874,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2020/11/17/z-esarp--gumus--gulsoy-1858874-0.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,
727897,Düz Twill Eşarp - Haki," 
            <p>يمكنك شراء هذا المنتج من موقع مودانيسا فلسطين اليوم، كل ما عليك عمله هو اضافة المنتج إلى السلة واكمال عملية الشراء.</p>
            <p>في حال احتجتي معرفة قياسك، اضغطي على زر جدول المقاسات أعلاه.</p>
            <p></p>
            <p>في حال احتجتي لمساعدة في عملية الشراء، يمكنك الدردشة معنا وسيقوم فريق الدعم الخاص بنا بمساعدتك حتى اتمام عملية الشراء والتأكد من رضاكِ التام.</p>
            <p></p>
            <p><br></p>
            <p>شروط البيع:</p>
            <p></p>
            <p>- الدفع يكون عند الاستلام.</p>
            <p></p>
            <p>- السعر شامل ضريبة القيمة المضافة والجمارك وسوف تتحمل مودانيسا فلسطين أي تكاليف أخرى تطرأ على طلبك.</p>
            <p></p>
            <p>- الحد الأدنى للطلب هو ١٠٠ شيكل.</p>
            <p></p>
            <p>- التوصيل مجاني عند شرائك بمبلغ ٢٥٠ شيكل فأكثر.</p>
            <p></p>
            <p>- كافة منتجاتنا تخضع لسياسة تبديل وإرجاع مميزة وهي ١٤ يوم من تاريخ استلام المنتج.</p>
            <p></p>
            <p>- مدة التوصيل كما هي موضحة تكون في العادة ما بين ١٢-٢٠ يوم وقد يصلك طلبك قبل ذلك أو بعد ذلك مع تواصلنا معك في حال حصول تأخير.</p>
            <p></p>
        ",Gülsoy,,Plain Scarf,TRUE,,,,,,,727897,0,shopify,10,deny,manual,24.99,25,35.0,TRUE,FALSE,,https://fns.modanisa.com/r/pro2/2018/12/24/z-duz-twill-esarp--haki--gulsoy-727897-727897-1.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,10.0,active,,https://www.modanisa.com/duz-twill-esarp--haki--gulsoy727897.html
727897,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2018/12/24/z-duz-twill-esarp--haki--gulsoy-727897-727897-4.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
727897,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2018/12/24/z-duz-twill-esarp--haki--gulsoy-727897-727897-2.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
727897,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2018/12/24/z-duz-twill-esarp--haki--gulsoy-727897-727897-3.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
727897,,,,,,,,,,,,,,,,,,,,,,,,,https://fns.modanisa.com/r/pro2/2018/12/24/z-duz-twill-esarp--haki--gulsoy-727897-727897-5.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
